year,country,mean_temp
1958,South Korea,13.056510517830475
1959,South Korea,11.84741400726665
1960,South Korea,11.821640231150639
1961,South Korea,11.486960517247837
1962,South Korea,12.465829646088082
1963,South Korea,12.714997629043296
1964,South Korea,12.935408588023847
1965,South Korea,12.822379378369021
1966,South Korea,12.860704285142674
1967,South Korea,12.402111180225177
1968,South Korea,12.58133003940037
1969,South Korea,13.0328804101934
1970,South Korea,13.153923627466156
1971,South Korea,12.534572495120813
1972,South Korea,11.949762161136448
1973,South Korea,12.183574420205275
1974,South Korea,11.740506323633497
1975,South Korea,12.527161505691652
1976,South Korea,11.944506024265934
1977,South Korea,11.992389852354279
1978,South Korea,12.61981450093208
1979,South Korea,13.136462352923786
1980,South Korea,12.688916743884135
1981,South Korea,12.884267608008486
1982,South Korea,12.307139628520702
1983,South Korea,10.861011736283729
1984,South Korea,12.677431666775817
1985,South Korea,12.567554418851046
1986,South Korea,13.72022730479938
1987,South Korea,11.838071646217202
1988,South Korea,12.657149491582231
1989,South Korea,12.341307488164944
1990,South Korea,12.293100992380744
1991,South Korea,12.331035851337049
1992,South Korea,11.609146656782968
1993,South Korea,12.477493783922341
1994,South Korea,12.642556158987531
1995,South Korea,12.066492446861844
1996,South Korea,12.065266267587276
1997,South Korea,13.160821339076335
1998,South Korea,12.77048704979569
1999,South Korea,14.182327474860358
2000,South Korea,13.265379735687873
2001,South Korea,14.208905522489772
2002,South Korea,13.930590460019744
2003,South Korea,12.28264565872206
2004,South Korea,12.64138313578377
2005,South Korea,13.751688179841494
2006,South Korea,13.450346947449077
2007,South Korea,13.547346659621724
2008,South Korea,14.031990999335221
2009,South Korea,12.572622772325701
2010,South Korea,13.565152941695146
2011,South Korea,12.722789426860004
2012,South Korea,13.933569080250834
2013,South Korea,12.74503531330538
2014,South Korea,13.339208017171188
1850,Spain,15.581419592628322
1851,Spain,14.785484892114766
1852,Spain,14.865971712492069
1853,Spain,14.468565127478257
1854,Spain,14.538551055214157
1855,Spain,13.854735372999244
1856,Spain,14.850395070823936
1857,Spain,14.450472377742585
1858,Spain,13.793834963864356
1859,Spain,14.003615466367478
1860,Spain,13.966275118647843
1861,Spain,14.428667852478668
1862,Spain,15.003693081230097
1863,Spain,14.685794368317602
1864,Spain,14.47035821725666
1865,Spain,14.04709623324726
1866,Spain,14.208133970203903
1867,Spain,13.874296596327895
1868,Spain,13.558032342943761
1869,Spain,13.814503458475428
1870,Spain,14.024051107716048
1871,Spain,14.152101499872572
1872,Spain,14.857310980729324
1873,Spain,14.264408924502845
1874,Spain,14.219007240566555
1875,Spain,14.284208746841557
1876,Spain,13.845438489513413
1877,Spain,14.15260627471747
1878,Spain,13.813425211594165
1879,Spain,15.463904846793412
1880,Spain,14.387914178182882
1881,Spain,13.463381366086821
1882,Spain,14.4438833130543
1883,Spain,14.477830762126189
1884,Spain,14.363577632278634
1885,Spain,14.352535818412662
1886,Spain,14.925946334779837
1887,Spain,14.508582286966714
1888,Spain,14.406449296402968
1889,Spain,14.155855515868211
1890,Spain,14.13010334381471
1891,Spain,14.740192500443868
1892,Spain,14.540165170711532
1893,Spain,15.022120778402893
1894,Spain,14.669554034636462
1895,Spain,14.586612805261552
1896,Spain,13.953571600509747
1897,Spain,14.1984386087355
1898,Spain,14.755342874871872
1899,Spain,14.571154738347673
1900,Spain,14.623654207112622
1901,Spain,14.615701414944283
1902,Spain,13.697995140382886
1903,Spain,13.664899317933987
1904,Spain,14.72596572896623
1905,Spain,14.462177800950258
1906,Spain,14.345944888317945
1907,Spain,14.345042732110983
1908,Spain,14.385191980846571
1909,Spain,14.602721261366412
1910,Spain,14.637595352469248
1911,Spain,15.746989382841605
1912,Spain,14.136037102030798
1913,Spain,14.593377090452918
1914,Spain,14.291973001625479
1915,Spain,14.347392762697325
1916,Spain,13.517734228292568
1917,Spain,13.9347577083214
1918,Spain,14.507056543980866
1919,Spain,15.139311270427584
1920,Spain,14.393855765582089
1921,Spain,14.020396683276715
1922,Spain,14.483326846531611
1923,Spain,14.895206154696268
1924,Spain,13.360024181237861
1925,Spain,14.519715864367186
1926,Spain,14.140858017678568
1927,Spain,14.668551937100915
1928,Spain,15.181427816015287
1929,Spain,14.35455181259698
1930,Spain,14.526370139109588
1931,Spain,15.22316525149705
1932,Spain,14.221409733648215
1933,Spain,14.909844149249011
1934,Spain,15.065454141565965
1935,Spain,15.451523989048951
1936,Spain,15.09251279136572
1937,Spain,15.275953670264187
1938,Spain,14.461881981120143
