year,season,country,mean_temp
1992,fall,United States of America,11.2264
1992,spring,United States of America,9.9191
1992,summer,United States of America,21.6105
1992,winter,United States of America,-0.9168
1993,fall,United States of America,12.0444
1993,spring,United States of America,9.2875
1993,summer,United States of America,21.169
1993,winter,United States of America,-2.4509
1994,fall,United States of America,12.214
1994,spring,United States of America,9.8448
1994,summer,United States of America,22.6039
1994,winter,United States of America,-1.7108
1995,fall,United States of America,12.3611
1995,spring,United States of America,9.7412
1995,summer,United States of America,22.2915
1995,winter,United States of America,0.7396
1996,fall,United States of America,11.7709
1996,spring,United States of America,10.5112
1996,summer,United States of America,22.2861
1996,winter,United States of America,-0.8685
1997,fall,United States of America,12.7127
1997,spring,United States of America,9.5211
1997,summer,United States of America,22.4739
1997,winter,United States of America,-0.5301
1998,fall,United States of America,12.5744
1998,spring,United States of America,10.5238
1998,summer,United States of America,22.1968
1998,winter,United States of America,-1.1611
1999,fall,United States of America,12.7333
1999,spring,United States of America,9.2918
1999,summer,United States of America,22.4657
1999,winter,United States of America,-1.3383
2000,fall,United States of America,12.3796
2000,spring,United States of America,10.5301
2000,summer,United States of America,23.257
2000,winter,United States of America,-1.0615
2001,fall,United States of America,13.1883
2001,spring,United States of America,9.771
2001,summer,United States of America,22.8088
2001,winter,United States of America,-1.525
2002,fall,United States of America,12.9767
2002,spring,United States of America,10.312
2002,summer,United States of America,23.1513
2002,winter,United States of America,-0.0149
2003,fall,United States of America,13.6648
2003,spring,United States of America,9.6688
2003,summer,United States of America,22.975
2003,winter,United States of America,-0.8437
2004,fall,United States of America,13.1928
2004,spring,United States of America,9.3182
2004,summer,United States of America,22.6114
2004,winter,United States of America,0.769
2005,fall,United States of America,13.295
2005,spring,United States of America,10.3204
2005,summer,United States of America,23.1389
2005,winter,United States of America,1.0775
2006,fall,United States of America,12.224
2006,spring,United States of America,9.5453
2006,summer,United States of America,23.1851
2006,winter,United States of America,-1.6533
2007,fall,United States of America,13.0928
2007,spring,United States of America,10.9192
2007,summer,United States of America,23.6979
2007,winter,United States of America,-0.0045
2008,fall,United States of America,12.8581
2008,spring,United States of America,10.3386
2008,summer,United States of America,23.5836
2008,winter,United States of America,0.0714
2009,fall,United States of America,13.0826
2009,spring,United States of America,9.9382
2009,summer,United States of America,23.0414
2009,winter,United States of America,-1.3009
2010,fall,United States of America,13.4738
2010,spring,United States of America,11.2201
2010,summer,United States of America,23.6436
2010,winter,United States of America,-3.4198
2011,fall,United States of America,13.6483
2011,spring,United States of America,10.8362
2011,summer,United States of America,23.5303
2011,winter,United States of America,0.6708
2012,fall,United States of America,12.7054
2012,spring,United States of America,11.3446
2012,summer,United States of America,23.214
2012,winter,United States of America,0.1291
2013,fall,United States of America,13.9368
2013,spring,United States of America,11.1901
2013,summer,United States of America,23.3206
2013,winter,United States of America,0.8322
2014,fall,United States of America,13.9307
2014,spring,United States of America,11.4639
2014,summer,United States of America,23.7548
2014,winter,United States of America,-0.3948
2015,winter,United States of America,0.7347
